12.2,22.3,16.3,102.0
13.2,23.4,18.9,104.0
14.3,24.3,21.7,102.0
15.3,24.7,24.8,96.8
16.2,24.8,28.0,87.3
17.0,24.2,31.4,73.4
17.7,23.2,34.6,55.2
18.2,21.5,37.6,33.3
18.4,19.3,40.3,8.66
18.4,16.7,42.5,-17.4
18.1,13.8,44.0,-43.5
17.5,10.7,45.0,-68.1
16.7,7.66,45.4,-90.1
15.7,4.76,45.2,-108.0
14.5,2.13,44.6,-122.0
13.2,-0.158,43.6,-132.0
11.8,-2.05,42.3,-137.0
10.5,-3.56,40.9,-139.0
9.08,-4.7,39.4,-137.0
7.74,-5.53,37.9,-132.0
6.45,-6.11,36.5,-126.0
5.23,-6.49,35.2,-118.0
4.09,-6.73,33.9,-109.0
3.04,-6.85,32.8,-99.5
2.08,-6.9,31.7,-89.9
1.23,-6.89,30.8,-80.5
0.46399999999999997,-6.83,29.9,-71.7
-0.209,-6.75,29.2,-63.6
-0.8009999999999999,-6.66,28.5,-56.6
-1.33,-6.56,27.8,-50.6
-1.8,-6.48,27.2,-45.7
-2.23,-6.42,26.7,-41.7
-2.63,-6.4,26.1,-38.5
-3.0,-6.42,25.6,-35.7
-3.36,-6.47,25.1,-33.1
-3.68,-6.55,24.6,-30.7
-3.98,-6.65,24.2,-28.4
-4.25,-6.76,23.8,-26.2
-4.5,-6.88,23.5,-24.3
-4.73,-7.02,23.2,-22.7
-4.95,-7.18,22.9,-21.7
-5.16,-7.36,22.7,-21.2
-5.37,-7.56,22.5,-21.3
-5.59,-7.78,22.3,-21.9
-5.81,-8.03,22.2,-22.9
-6.04,-8.31,22.1,-24.0
-6.28,-8.6,22.0,-25.1
-6.54,-8.92,22.0,-26.1
-6.81,-9.26,21.9,-26.7
-7.08,-9.61,22.0,-26.9
-7.36,-9.96,22.0,-26.8
-7.63,-10.3,22.2,-26.5
-7.89,-10.6,22.4,-26.1
-8.15,-10.9,22.6,-26.0
-8.4,-11.2,22.9,-26.1
-8.66,-11.5,23.3,-26.6
-8.92,-11.7,23.7,-27.3
-9.19,-12.0,24.2,-28.1
-9.47,-12.2,24.6,-28.6
-9.76,-12.4,25.1,-28.5
-10.1,-12.6,25.6,-27.6
-10.3,-12.7,26.1,-25.7
-10.6,-12.7,26.7,-22.8
-10.8,-12.7,27.3,-19.0
-11.0,-12.6,27.9,-14.7
-11.1,-12.4,28.5,-10.2
-11.2,-12.2,29.1,-5.82
-11.2,-11.8,29.7,-1.85
-11.2,-11.4,30.3,1.6
-11.1,-11.0,30.8,4.55
-11.1,-10.5,31.2,7.15
-11.0,-10.0,31.5,9.6
-10.9,-9.53,31.8,12.1
-10.8,-9.05,31.9,14.9
-10.6,-8.57,32.0,17.9
-10.4,-8.1,32.0,21.1
-10.2,-7.64,31.9,24.3
-9.95,-7.18,31.8,27.1
-9.66,-6.73,31.7,29.4
-9.34,-6.3,31.5,31.0
-9.01,-5.92,31.2,31.6
-8.69,-5.58,30.9,31.5
-8.38,-5.3,30.5,30.7
-8.09,-5.07,30.2,29.4
-7.82,-4.89,29.7,27.9
-7.55,-4.75,29.3,26.4
-7.29,-4.64,28.8,24.9
-7.04,-4.55,28.4,23.4
-6.81,-4.5,27.9,22.2
